SimulationName,Season,EnvType
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1911,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1912,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1912,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1912,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1920,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1920,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1921,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1921,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1923,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1923,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1923,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1925,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1925,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1928,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1928,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1928,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1929,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1930,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1930,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1932,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1933,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1933,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1937,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1942,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1947,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1947,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1948,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1948,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1954,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1954,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1956,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1959,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1959,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1960,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1960,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1963,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1964,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1964,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1972,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1972,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1974,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1974,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1974,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1976,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1978,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1978,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1978,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1984,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1984,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1985,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1986,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1986,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1989,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1989,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1990,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,1994,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1994,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1996,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,1996,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,1999,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2001,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2001,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2001,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2004,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2005,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2005,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2011,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2014,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2014,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2015,5
ExperimentSouthern QLDSowingEarlySiteDalby_Vert180,2018,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2018,5
ExperimentSouthern QLDSowingEarlySiteDalby_GC150M,2018,5
ExperimentSouthern QLDSowingEarlySiteDalby_BE80H,2021,5
